Ticker,Description,Revenue (Quarterly QoQ Growth),Revenue (Annual YoY Growth),Gross Profit (Quarterly QoQ Growth),Gross Profit (Annual YoY Growth),Gross Margin (FY),EBITDA (Quarterly QoQ Growth),EBITDA (Annual YoY Growth),Operating Margin (FY),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),Net Income (Quarterly QoQ Growth),Net Income (Annual YoY Growth),Net Margin (FY),Total Assets (Annual YoY Growth),Total Assets (Quarterly QoQ Growth),Total Debt (Quarterly QoQ Growth),Total Debt (Annual YoY Growth),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Volatility,Volatility Month,Volatility Week,EPS Forecast (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Quick Ratio (MRQ),Price to Book (FY),Price to Earnings Ratio (TTM),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Industry
AAPL,Apple Inc.,-13.74899827,7.7937876,-13.25281113,11.74199796,43.30963056,-16.54920554,8.57335341,30.2887444,-17.33569461,8.89205558,6.1132,-17.71109272,5.41085763,25.30964071,0.49942735,0.8664499,-0.30561511,-2.96069498,-5.29168616,19.89177326,28.26149804,1.7469059,1.71966972,1.75818607,1.390992,28.2298126,160.09325821,60.90913766,0.92273713,53.41947115,28.53203932,26.52105209,6.97590853,Telecommunications Equipment
MSFT,Microsoft Corporation,0.58374415,6.88202956,2.08407372,7.69208081,68.92008588,9.55631399,4.64110871,41.77288064,11.08095043,0.3866487,9.6843,11.00542802,-0.51829855,34.14623788,12.919636,8.20654601,33.03080273,1.32780612,4.23160337,-8.70926645,28.06549796,2.91661624,2.1651823,2.7127679,2.748065,19.14075641,39.10723344,28.71899557,1.63941599,12.05727408,32.39993802,39.48571838,11.43568334,Packaged Software
GOOG,Alphabet Inc.,2.80697051,9.08275337,1.87193965,5.54285597,55.06791277,-0.00792644,-2.41412654,25.94784157,7.76928423,-18.75969269,4.5575,7.1918554,-21.12372259,21.35184691,1.66894909,3.56799741,0.04756727,5.15293953,3.77904307,-10.44887483,21.36537606,2.54278334,2.10511424,2.35372802,1.603749,17.6781471,25.33350543,23.01913087,2.00884176,6.27441066,23.9805211,20.45937386,5.35811159,Internet Software/Services
AMZN,"Amazon.com, Inc.",6.47403317,9.39951726,4.69312413,14.01371292,43.80533987,21.35867326,-6.42335027,2.62868616,44.84520124,-108.24895036,-0.2672,46.35555556,-108.15849419,-0.5295895,10.01690647,1.94218259,-0.29626357,17.12087547,74.02907787,-14.71546924,-3.28668458,3.64810205,2.7389123,3.18330607,0.749966,4.38767762,12.53128296,6.85638772,0.74089964,9.13653823,68.02422723,81.28929969,2.48271972,Internet Retail
NVDA,NVIDIA Corporation,87.80589544,0.2229323,103.57142857,-12.12589413,56.92889449,183.8748019,-36.50468123,20.67546526,201.79159049,-54.70898646,1.7423,202.88790994,-55.20918786,16.19337139,-6.80064272,11.45973909,-9.32119205,2.94344143,127.52534735,-53.17265125,14.11729814,4.37450903,3.40638116,4.0251546,3.331439,22.19690211,40.21264995,28.96538181,2.36868589,45.67582616,98.88878152,99.09819239,31.30230532,Semiconductors
META,"Meta Platforms, Inc.",6.70958467,-1.11931756,7.44656312,-2.54513014,79.62935965,16.0790999,-22.80519006,28.77565197,47.09551918,-37.64832324,8.5862,48.72881356,-41.07188214,19.89554837,11.89249761,4.63790834,-0.30569458,88.72284489,24.93464347,-51.31404029,16.331501,4.23564621,2.8629263,3.54406866,4.840438,15.04777715,22.273914,18.15916448,2.56716125,6.29894245,26.74004961,21.29119997,6.30174574,Internet Software/Services
BRK.A,Berkshire Hathaway Inc.,4.57808787,-34.75537546,,,,,,-10.84805808,1.63268655,-126.12680794,-15535,1.14916629,-125.41232808,-9.9803184,-1.15376305,3.80403353,1.39374232,7.06900455,55.60240964,-16.7718493,9.51714486,1.01377431,1.4175314,1.15145539,6540.235641,9.05245699,17.35909668,14.01220577,,1.56894453,8.49963169,28.34761656,1.85814318,Property/Casualty Insurance
TSLA,"Tesla, Inc.",-6.3264733,51.35165264,-7.8314582,53.26326621,25.59843854,-15.59245708,84.70288083,16.97969605,-31.81935152,122.04304372,3.6213,-31.52053274,127.7878349,15.44646584,32.52321707,3.69793909,40.88797109,-35.21920433,-16.51741294,51.73590207,9.28162824,7.82063055,4.21920952,4.66413403,0.743933,12.82199006,23.13404846,20.97653403,1.17511261,14.06332388,63.98325551,188.04093742,7.2355104,Motor Vehicles
UNH,UnitedHealth Group Incorporated,-0.5834042,12.71397129,,,,,,8.77184864,7.15389635,17.13724731,21.179,6.7044209,16.40150419,6.20677316,16.01268111,0.67781728,-3.3847139,24.22030392,-40.56650005,17.67308563,7.21984687,1.07278082,1.48466561,1.56917184,6.00135,8.25971622,,,,6.30712977,22.79328154,18.59536524,1.36553628,Managed Health Care
V,Visa Inc.,5.9830112,11.4056636,7.10040161,10.68409931,77.00058188,3.24041812,10.9601669,67.15156341,15.43938161,20.89003095,8.28,14.44987775,18.06561859,52.89866168,5.84554567,1.41762109,-0.47178988,-10.91423596,20.3562341,10.16276078,60.3191131,1.51619354,1.50433418,1.92155686,2.345584,19.38863636,45.91866943,29.57044688,,12.63390259,28.2347482,29.28519399,17.66456928,Miscellaneous Commercial Services
