Ticker,Description,"Change 1h, %","Change 4h, %",Change from Open %,Change %,"Change 1W, %","Change 1M, %",3-Month Performance,6-Month Performance,Yearly Performance,5Y Performance,Sector
ATLX,Atlas Lithium Corporation,4.05904059,4.05904059,0,3.06075834,-15.06024096,-26.37075718,6.26471974,-32.8771199,100.53333333,2048.57142857,Non-Energy Minerals
VHC,VirnetX Holding Corp,-9.24440692,-9.24440692,1.17647059,-9.24440692,-14.64867011,-15.38764266,-56.12244898,-50,-83.33333333,-94.07713499,Technology Services
ATOM,Atomera Incorporated,-0.15739269,-0.15739269,-1.41130298,-0.15739269,-2.78482972,0.32108626,-20.70580808,-9.63884892,-30.60662983,46.04883721,Commercial Services
NPWR,NET Power Inc.,-1.08616944,-1.08616944,-1.01449275,-1.08616944,-3.1892275,-9.53642384,14.11862991,32.10831721,37.28643216,37.97979798,Producer Manufacturing
HUMA,"Humacyte, Inc.",0.23866348,0.23866348,0,0.4784689,-7.89473684,-28.32764505,-24.46043165,-34.98452012,-41.34078212,-78.35051546,Health Technology
SMMT,Summit Therapeutics Inc.,-1.55080214,-1.55080214,-2.07446809,-2.07446809,-0.48648649,-1.55080214,-5.10309278,31.5,62.92035398,-1.02150538,Health Technology
VTVT,vTv Therapeutics Inc.,1.55452436,1.55452436,0,1.55452436,1.79069767,-8.43096234,-37.02158273,-41.64,-45.29440658,-87.67042254,Health Technology
CRMD,CorMedix Inc.,1.47783251,1.47783251,0.98039216,1.31147541,-2.21518987,-16.48648649,-24.26470588,-32.97180043,-0.96153846,-40.57692308,Health Technology
VKQ,Invesco Municipal Trust,0.62893082,0.62893082,0.37641154,0.62893082,-1.2345679,-4.07673861,-16.14255765,-16.49269311,-8.98748578,-27.4705349,Miscellaneous
IOVA,"Iovance Biotherapeutics, Inc.",-0.27027027,-0.27027027,0.54644809,0,10.51051051,-19.12087912,-48.16901408,-31.21495327,-61.94415719,-60.30204962,Health Technology
GERN,Geron Corporation,-0.54644809,-0.54644809,-1.08695652,0,0,-14.1509434,-39.9339934,-23.52941176,-23.84937238,19.73684211,Health Technology
CRNX,"Crinetics Pharmaceuticals, Inc.",-0.10186519,-0.10186519,0.56179775,0.63246662,-2.91525424,-3.69872226,54.06132329,53.56568365,58.14467145,27.68613464,Health Technology
ALLO,"Allogene Therapeutics, Inc.",1.5037594,1.5037594,0.37313433,1.12781955,-10.33333333,-15.14195584,-43.84133612,-49.81343284,-72.43852459,-88.5042735,Health Technology
BFRG,"Bullfrog AI Holdings, Inc.",3.97111913,3.97111913,0,2.4911032,-1.03092784,-11.65644172,-33.02325581,-41.2244898,-45.66037736,-45.66037736,Technology Services
ZIVO,"Zivo Bioscience, Inc.",11.10950643,11.10950643,4.72715034,11.10950643,7.70784615,-46.14607692,-64.81904523,-75.39188049,-77.77457143,-93.74909821,Health Technology
HSCS,"Heart Test Laboratories, Inc.",5.13447433,5.13447433,4.70779221,5.13447433,-33.4021683,-39.43661972,-70.20785219,-71.57416334,-89.68,-93.12,Health Technology
IBRX,"ImmunityBio, Inc.",9.84761905,9.84761905,2.66272189,9.81012658,33.46153846,2.66272189,-25.53648069,-33.77862595,-67.81076067,-23.2300885,Health Technology
FSR,Fisker Inc.,1.8762475,1.8762475,0.79405941,1.39641434,-6.43198529,-20.71495327,-11.32229965,-23.28409947,-34.32129032,-47.25284974,Consumer Durables
ENVX,Enovix Corporation,1.63398693,1.63398693,1.94972678,1.50598477,-5.58299595,-25.67011952,-51.05771249,-11.07340324,-46.92233286,-30.90074074,Producer Manufacturing
OVID,Ovid Therapeutics Inc.,0.57471264,0.57471264,0,0.57471264,0.86455331,-8.85416667,0,0.28653295,110.84337349,-35.54327808,Health Technology
INBX,"Inhibrx, Inc.",2.34070221,2.34070221,1.41752577,2.34070221,0.70377479,-14.22343324,-26.03383459,-22.95643661,-49.55128205,-28.77828054,Health Technology
CDIO,Cardio Diagnostics Holdings Inc.,-10.96681097,-10.96681097,-5.94512195,-7.45,-27.83625731,-45.55882353,-83.54666667,-92.35123967,-95.64470588,-98.11122449,Health Technology
KRTX,"Karuna Therapeutics, Inc.",0.06573443,0.06573443,0,0.08965929,0.41376829,-0.96989769,-16.38787637,-12.39863981,-22.32221552,647.8785172,Health Technology
RLAY,"Relay Therapeutics, Inc.",2.66666667,2.66666667,1.81818182,2.49584027,-9.01033973,-26.75386445,-47.79661017,-44.80286738,-70.84713677,-82.4,Health Technology
VGM,Invesco Trust for Investment Grade Municipals,0,0,0.61349693,0.24449878,-0.84643289,-3.52941176,-15.55097837,-16.66666667,-9.7909791,-27.94376098,Miscellaneous
BBIO,"BridgeBio Pharma, Inc.",-0.16386727,-0.16386727,-0.44934641,-0.24559967,-0.81400081,-7.58437619,-25.67856054,72.59206799,130.12275732,-12.65232975,Health Technology
GANX,"Gain Therapeutics, Inc.",-2.26537217,-2.26537217,0,-1.30718954,-0.330033,-7.92682927,-20.10582011,-38.1147541,-8.69236584,-73.08377897,Health Technology
EQS,"Equus Total Return, Inc.",7.1942446,7.1942446,0,3.47222222,1.36054422,0.67567568,0,0.67567568,-15.34090909,-22.79792746,Finance
BENF,Beneficient,-0.79984,-0.79984,0.00016129,-0.79984,-9.03741197,-76.06173745,-71.81813636,-94.10084681,-93.85529237,-93.71832827,Finance
LXRX,"Lexicon Pharmaceuticals, Inc.",-0.44933921,-0.44933921,-0.88596491,-0.44933921,-0.00884956,3.66055046,-41.45595855,-52.52521008,-46.45023697,-86.95265589,Health Technology
ANIX,"Anixa Biosciences, Inc.",3.10559006,3.10559006,3.10559006,2.4691358,6.07028754,1.52905199,-6.47887324,-21.69811321,-37.35849057,-17,Health Technology
NTBL,"Notable Labs, Ltd.",2.14788732,2.14788732,1.78947368,2.14788732,-5.51104163,-66.05209371,-70.4737783,-52.85870286,-40.73665502,-94.0736655,Commercial Services
AUR,"Aurora Innovation, Inc.",0,0,2.19428571,-0.08938547,-1.73626374,-23.89787234,-35.89964158,27.74285714,-19.07692308,-82.116,Technology Services
QSI,Quantum-Si Incorporated,1.61290323,1.61290323,1.61290323,1.61290323,0,-24.09638554,-59.74440895,-13.10344828,-58,-87.24696356,Technology Services
CLDX,"Celldex Therapeutics, Inc.",1.01954121,1.01954121,0.2529511,1.19148936,-2.66066312,-13.59011628,-31.2716763,-24.29162687,-30.16152717,328.46846847,Health Services
VRDN,"Viridian Therapeutics, Inc.",-0.85543199,-0.85543199,-1.44557823,-0.68551842,0.08635579,-24.44589309,-37.01086957,-57.96155241,-39.72958918,-81.23657298,Health Technology
MVIS,"MicroVision, Inc.",1.26903553,1.26903553,1.26903553,1.26903553,-0.74626866,-8.90410959,-45.34246575,5,-47.08222812,84.72222222,Electronic Technology
CYTK,"Cytokinetics, Incorporated",1.32023334,1.32023334,-0.09082652,1.25805462,-0.33222591,12.01629328,2.23048327,-12.85978347,-28.92526384,376.87861272,Health Technology
HYZN,Hyzon Motors Inc.,-2.58408532,-2.58408532,0,0.53973965,18.75,-24,-48.64864865,13.32458547,-48.36956522,-90.785645,Consumer Durables
ATEX,Anterix Inc.,-0.48092869,-0.48092869,-0.84269663,-0.48092869,-3.05331179,-4.38177183,6.40070922,-6.20506408,-3.86094201,-25.23050087,Communications
BIOR,"Biora Therapeutics, Inc.",-2.26732673,-2.26732673,-2.26732673,-2.74876847,-24.64885496,-9.02304147,-46.78706199,-17.74166667,-81.37986324,-99.47737922,Health Services
PNF,PIMCO New York Municipal Income Fund,0,0,0,0,-0.92879257,-11.23439667,-24.6171967,-25.49476135,-17.0984456,-43.31266608,Miscellaneous
LPCN,Lipocine Inc.,4.56431535,4.56431535,-0.78740157,4.56431535,-1.5625,-15.43624161,-47.60914761,-48.54998757,-63.85950641,-88.68885315,Health Technology
QUBT,Quantum Computing Inc.,-1.79640719,-1.79640719,0,-1.73756741,-4.60679386,-24.07407407,-32.23140496,-33.33333333,-61.68224299,-88.28571429,Technology Services
CBUS,"Cibus, Inc.",-8.79590094,-8.79590094,0,-7.45233969,-43.16125599,-41.3830955,-38.26589595,-16.5625,35.18987342,-98.15703192,Technology Services
VLT,Invesco High Income Trust II,-0.64171123,-0.64171123,0,-0.64171123,-1.17021277,-6.53735488,-11.60799239,-12.68796992,-5.78093306,-31.08308605,Miscellaneous
GDO,Western Asset Global Corporate Defined Opportunity Fund Inc.,-0.61349693,-0.61349693,0,-0.61349693,-0.56992547,-4.30379747,-9.4972067,-10.07137193,-0.70052539,-26.83870968,Miscellaneous
FCUV,Focus Universal Inc.,-4.59770115,-4.59770115,0,-4.59770115,-9.28961749,-14.43298969,-2.35294118,-13.08900524,-74.82306759,-64.42858921,Commercial Services
CXH,MFS Investment Grade Municipal Trust,0,0,0,0,-2.56024096,-8.48656294,-13.96276596,-12.0923913,-1.52207002,-25.37485582,Miscellaneous
FDMT,"4D Molecular Therapeutics, Inc.",2.5072324,2.5072324,0.28301887,2.5072324,5.03952569,-16.49646504,-41.07538803,-35.96385542,41.1686587,-73.425,Health Technology
CKPT,"Checkpoint Therapeutics, Inc.",-0.97087379,-0.97087379,0,-0.97087379,-5.55555556,20,-28.16901408,-32,-78.75,-91.39240506,Health Technology
PLRX,"Pliant Therapeutics, Inc.",0.1283697,0.1283697,-0.43763676,0.14673514,0,-21.28027682,-19.75308642,-51.00502513,-46.84579439,-45.4,Health Technology
VMO,Invesco Municipal Opportunity Trust,0,0,0,0,-1.25313283,-4.2527339,-17.40041929,-17.31374607,-10.35267349,-28.68778281,Miscellaneous
NN,NextNav Inc.,0.456621,0.456621,0.22779043,0,-1.56599553,-14.39688716,47.15719064,106.57276995,33.73860182,-60.18099548,Technology Services
EOT,Eaton Vance Municipal Income Trust,-0.67227456,-0.67227456,-0.13464141,-0.67227456,-0.26959459,-9.00061652,-14.92737752,-17.07808989,-5.01866152,-28.90125241,Miscellaneous
IQI,Invesco Quality Municipal Income Trust,0,0,0,0,-1.10429448,-3.93325387,-15.69037657,-18.08943089,-8.51305335,-27.77777778,Miscellaneous
BSGM,"BioSig Technologies, Inc.",3.96265955,3.96265955,4.94230769,3.96265955,-3.4159292,11.52667075,-39.50110865,-54.525,7,-88.31477516,Health Technology
IONQ,"IonQ, Inc.",-0.28873917,-0.28873917,0.63168124,-0.43269231,-17.75218427,-30.40994624,-34.70996217,84.91071429,96.11742424,-6.92302161,Electronic Technology
RFL,"Rafael Holdings, Inc.",2.53793103,2.53793103,0.45945946,2.53793103,-12.02366864,-21.74736842,-26.3960396,-29.53554502,-17.4,-82.4725618,Finance
MRTX,"Mirati Therapeutics, Inc.",0.27154236,0.27154236,0.16274864,0.32602789,-0.52083333,27.15794307,91.66089965,26.89576174,-17.03115638,71.59231722,Health Technology
IGMS,"IGM Biosciences, Inc.",-2.34113712,-2.34113712,-1.57303371,-2.44988864,0.4587156,-47.54491018,-56.28742515,-60.32608696,-77.44593203,-81.40127389,Health Technology
ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund,-0.35335689,-0.35335689,-0.08857396,-0.26525199,-2.08333333,-5.76441103,-14.08987053,-8.51581509,-18.49710983,-24.14256893,Miscellaneous
MQY,"Blackrock MuniYield Quality Fund, Inc.",0.0507872,0.0507872,0.30549898,-0.10141988,-1.5,-3.714565,-16.596105,-16.38370119,-8.71177016,-23.16692668,Miscellaneous
LYRA,"Lyra Therapeutics, Inc.",-1.58730159,-1.58730159,-1.89873418,-2.51572327,-13.64902507,-20.71611253,0.3236246,27.57201646,-36.47540984,-85.23809524,Health Technology
VERV,"Verve Therapeutics, Inc.",2.55021368,2.55021368,1.19553666,1.84491979,2.61314655,-28.18627451,-52.05186304,-39.57804569,-72.58134178,-68.25833333,Health Technology
CRDF,"Cardiff Oncology, Inc.",-1.96078431,-1.96078431,0,-1.96078431,-8.25688073,-28.05755396,-30.06993007,-36.70886076,-35.48387097,-81.98198198,Health Technology
SPCE,"Virgin Galactic Holdings, Inc.",1.4084507,1.4084507,1.4084507,1.4084507,-12.19512195,-20,-62.40208877,-58.38150289,-68.42105263,-85.51307847,Electronic Technology
SAGE,"Sage Therapeutics, Inc.",1.36537411,1.36537411,-0.90957731,1.20218579,0.65217391,-10.00971817,-48.48400556,-60.85394208,-48.98071625,-84.83955468,Health Technology
MYI,"Blackrock MuniYield Quality Fund III, Inc",0.53533191,0.53533191,0.53533191,0.53533191,-0.10638298,-1.67539267,-14.79128857,-15.40540541,-7.3964497,-19.39914163,Miscellaneous
EMD,Western Asset Emerging Markets Debt Fund Inc,-0.25157233,-0.25157233,0,0,0,-4.45783133,-9.78384528,-8.85057471,-1.97775031,-37.70620581,Miscellaneous
EHI,Western Asset Global High Income Fund Inc,-0.49180328,-0.49180328,0,-0.32840722,-0.97879282,-8.85885886,-16.04426003,-13.65576102,-9.67261905,-30.70776256,Miscellaneous
MVF,"Blackrock MuniVest Fund, Inc.",0.3003413,0.3003413,0.12947189,0.47179487,-1.87646077,-3.00990099,-13.30973451,-13.69162996,-8.8744186,-29.86157518,Miscellaneous
BKT,BlackRock Income Trust Inc. (The),0,0,0,0,-0.28063611,-6.32688928,-11.01836394,-14.72,-10.1937658,-36.77342823,Miscellaneous
MORF,"Morphic Holding, Inc.",0.09940358,0.09940358,0.09940358,0.19900498,-2.09042295,-12.09079005,-62.49534451,-56.58547101,-25.43502407,12.57685858,Health Technology
JRS,Nuveen Real Estate Income Fund,-0.50167224,-0.50167224,-0.16778523,-0.50167224,-3.40909091,-11.19402985,-21.71052632,-19.9192463,-22.82749676,-35.53629469,Miscellaneous
