Ticker,Description,"Change 1h, %","Change 4h, %",Change from Open %,Change %,"Change 1W, %","Change 1M, %",3-Month Performance,6-Month Performance,Yearly Performance,5Y Performance,Sector
AAPL,Apple Inc.,-0.1123369,0.69690458,0.22536839,0.25433526,0.32392411,1.30249401,-10.44560335,4.99424905,17.83809491,221.43816893,Electronic Technology
MSFT,Microsoft Corporation,-0.202136,0.49214691,-0.23241775,0.36742378,1.1816206,4.68091845,-3.19529053,11.67685914,35.59648835,206.69945254,Technology Services
GOOG,Alphabet Inc.,-0.13176169,0.51973189,0.68985341,1.60986222,2.47184438,6.27227911,7.48695919,33.15594412,37.2514448,159.26782559,Technology Services
AMZN,"Amazon.com, Inc.",0.35042535,0.9928131,0.64192892,1.58027813,2.70831669,1.13278792,1.62042526,18.86094675,7.15119187,47.58012673,Retail Trade
NVDA,NVIDIA Corporation,0.26868139,1.28041567,1.36035471,1.60093077,5.49931138,0.37702016,-5.12374785,59.56949165,249.08058842,692.32409382,Electronic Technology
META,"Meta Platforms, Inc.",0.00163171,-0.06071942,-1.33531157,-0.46495335,1.26356715,4.11045601,3.77170557,30.2888824,145.61886051,106.68562359,Technology Services
BRK.A,Berkshire Hathaway Inc.,-0.07618729,0.04372323,0.28943585,0.73169567,1.02737571,-2.86505343,-2.42184584,3.83143604,20.38048402,69.31833164,Finance
TSLA,"Tesla, Inc.",0.2453363,-0.52594107,0.00923788,2.0935496,2.13689325,-13.46814803,-17.75118708,41.85010482,5.19871733,1130.8345777,Consumer Durables
LLY,Eli Lilly and Company,-0.28364855,0.81179053,2.14310345,2.73649527,1.3324439,10.2954592,30.2043956,51.41593825,72.10795422,435.16711834,Health Technology
UNH,UnitedHealth Group Incorporated,-0.17494485,0.19467878,0.40928738,0.65762985,-0.38517731,4.12741229,2.63127028,8.87598507,-2.42905198,102.14076698,Health Services
V,Visa Inc.,-0.22966996,0.26071719,0.75572159,1.34755755,0.54417688,2.0173036,1.39792148,2.61512223,22.59025129,71.41500475,Commercial Services
WMT,Walmart Inc.,-0.05816267,0.25795357,1.14622057,1.39121794,2.8281683,2.07590821,2.5182115,8.27032763,18.77046199,69.17098446,Retail Trade
XOM,Exxon Mobil Corporation,-0.14279792,-0.32186868,-1.19416591,-0.96847876,-2.42167807,-7.81595509,3.12054039,-6.25324338,2.58375923,35.38596053,Energy Minerals
JPM,JP Morgan Chase & Co.,-0.19093416,-0.14150276,-0.01416531,0.12056738,-1.24519063,-2.65480623,-9.9164061,3.80147059,15.64676006,35.47984645,Finance
MA,Mastercard Incorporated,-0.08007232,0.48314198,0.36575875,0.84447572,0.65034729,-2.27324392,-3.07380129,5.54585629,27.05569421,93.94957141,Commercial Services
JNJ,Johnson & Johnson,-0.12548709,0.65228967,0.31840796,-0.1056873,-1.15686275,-2.90208668,-12.0755814,-7.16390424,-10.94164066,9.75397344,Health Technology
