Ticker,Description,Revenue (Quarterly QoQ Growth),Revenue (Annual YoY Growth),Gross Profit (Quarterly QoQ Growth),Gross Profit (Annual YoY Growth),Gross Margin (FY),EBITDA (Quarterly QoQ Growth),EBITDA (Annual YoY Growth),Operating Margin (FY),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),Net Income (Quarterly QoQ Growth),Net Income (Annual YoY Growth),Net Margin (FY),Total Assets (Annual YoY Growth),Total Assets (Quarterly QoQ Growth),Total Debt (Quarterly QoQ Growth),Total Debt (Annual YoY Growth),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Volatility,Volatility Month,Volatility Week,EPS Forecast (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Quick Ratio (MRQ),Price to Book (FY),Price to Earnings Ratio (TTM),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Sector
AAPL,Apple Inc.,-13.74899827,7.7937876,-13.25281113,11.74199796,43.30963056,-16.54920554,8.57335341,30.2887444,-17.33569461,8.89205558,6.1132,-17.71109272,5.41085763,25.30964071,0.49942735,0.8664499,-0.30561511,-2.96069498,-5.29168616,19.89177326,28.26149804,1.45656625,1.81634143,1.48776437,1.391113,28.2298126,160.09325821,60.90913766,0.92273713,53.96515052,28.82349382,26.79196438,7.04716736,Electronic Technology
MSFT,Microsoft Corporation,6.30380082,6.88202956,7.25584688,7.69208081,68.92008588,8.59812362,4.64110871,41.77288064,9.69570892,0.3866487,9.6843,9.73823706,-0.51829855,34.14623788,12.919636,8.38963608,0.16264878,1.32780612,11.17528317,-8.70926645,28.06549796,4.5783907,1.97550302,1.76140069,2.711453,18.6301518,38.82392392,28.06234439,1.74516318,12.42901285,35.61227967,43.29918386,12.15213156,Technology Services
GOOG,Alphabet Inc.,2.80563003,9.08275337,1.82976829,5.54285597,55.06791277,-0.3527267,-2.41412654,25.94784157,7.71369006,-18.75969269,4.5575,7.1918554,-21.12372259,21.35184691,1.66894909,3.56799741,-10.53615113,5.15293953,3.77904307,-10.44887483,21.36537606,10.26125275,2.1999064,2.09391905,1.605894,17.6781471,25.33350543,23.01913087,2.00884176,6.38276313,24.39838162,20.81268572,5.45065893,Technology Services
AMZN,"Amazon.com, Inc.",5.51594717,9.39951726,9.13760975,14.01371292,43.80533987,20.44665012,-6.42335027,2.62868616,110.69797782,-108.24895036,-0.2672,112.79949559,-108.15849419,-0.5295895,10.01690647,2.84875683,-0.5569231,17.12087547,,-14.71546924,-3.28668458,3.36066892,2.73548898,2.5942566,0.585387,2.91351613,8.71455047,4.63961526,0.70086617,8.77045955,99.45129225,407.21468993,2.42869929,Retail Trade
NVDA,NVIDIA Corporation,87.80589544,0.2229323,103.57142857,-12.12589413,56.92889449,183.8748019,-36.50468123,20.67546526,201.79159049,-54.70898646,1.7423,202.88790994,-55.20918786,16.19337139,-6.80064272,11.45973909,-9.32119205,2.94344143,127.52534735,-53.17265125,14.11729814,1.14668273,3.15915927,3.17296906,3.327755,22.19690211,40.21264995,28.96538181,2.36868589,48.29234493,104.55358006,104.77498692,33.09544353,Electronic Technology
META,"Meta Platforms, Inc.",11.70884971,-1.11931756,15.98519642,-2.54513014,79.62935965,34.60302891,-22.80519006,28.77565197,35.5765733,-37.64832324,8.5862,36.41618497,-41.07188214,19.89554837,11.89249761,12.03148121,30.78937126,88.72284489,55.01676914,-51.31404029,16.331501,3.56196156,2.94360662,2.98293491,3.643489,11.97661415,17.35488838,14.51899081,2.32478861,6.31786444,35.41877951,33.02114005,6.58488488,Technology Services
BRK.A,Berkshire Hathaway Inc.,4.57808787,-34.75537546,,,,,,-10.84805808,1.63268655,-126.12680794,-15535,1.14916629,-125.41232808,-9.9803184,-1.15376305,3.80403353,1.39374232,7.06900455,55.60240964,-16.7718493,9.51714486,0.68881331,1.53203135,1.23788002,6540.235641,9.05245699,17.35909668,14.01220577,,1.58947957,8.61087859,28.71864258,1.88246338,Finance
TSLA,"Tesla, Inc.",-6.3264733,51.35165264,-7.8314582,53.26326621,25.59843854,-15.59245708,86.87147869,16.97969605,-31.81935152,122.04304372,3.6213,-31.52053274,127.7878349,15.44646584,32.52321707,3.69793909,40.88797109,-35.21920433,-16.51741294,51.73590207,9.28162824,2.03957808,4.11755734,4.6568658,0.743933,12.82199006,23.13404846,20.97653403,1.17511261,15.43886842,70.241507,206.4333663,7.94322125,Consumer Durables
LLY,Eli Lilly and Company,19.42672414,0.78747387,21.96388727,4.31313554,76.77128662,32.00938153,7.77510252,29.0118915,31.18409564,12.75316869,6.9032,31.10268421,11.87989322,21.87979567,1.40105725,3.10554333,-0.33680019,-3.82654119,-110.00847378,-12.11245358,18.32460916,1.50126068,2.76172002,2.73045171,-0.198827,12.75550268,66.27227988,24.77177371,0.87406291,52.89980434,83.65455161,148.57313374,18.13351822,Health Technology
UNH,UnitedHealth Group Incorporated,-0.5834042,12.71397129,,,,,,8.77184864,7.15389635,17.13724731,21.179,6.7044209,16.40150419,6.20677316,16.01268111,0.67781728,-3.3847139,24.22030392,-40.56650005,17.67308563,7.21984687,0.87420104,1.48202746,1.42654827,6.00135,8.25971622,,,,6.29656144,22.75508875,18.56420654,1.36324816,Health Services
V,Visa Inc.,1.72824045,21.59303049,2.77365032,23.92122634,77.50255885,2.64663805,23.92376142,67.38314568,-1.68,24.80093293,6.8492,-2.29335882,21.83544304,49.91470488,3.1424918,2.85747219,-0.22323595,6.35736445,50.73972603,23.1166506,60.99965882,2.90111981,1.5187873,1.8237757,2.345723,18.59783331,43.61839278,28.10417929,1.49175695,14.69437613,30.51272117,26.3425784,15.43843423,Commercial Services
WMT,Walmart Inc.,6.12668334,6.72801936,7.46954102,2.65314356,24.14046384,12.50412768,-9.27621483,4.01250472,371.86035235,-12.35819058,4.2721,371.66766288,-14.57617202,1.91071654,-0.6791636,4.10849898,1.46241408,2.79120074,4204.41176471,8.20767494,1.96044751,0.25168815,1.43746057,1.23259905,1.502574,5.59046026,17.87239459,10.812455,0.2550897,5.72112793,31.37553198,22.91242859,0.69816737,Retail Trade
XOM,Exxon Mobil Corporation,-3.04844987,42.75355602,-15.38760024,53.08866602,25.84445033,-22.28081001,84.96776593,16.35134528,-30.44788975,145.95231469,13.2556,-31.05861767,141.92708333,13.91975787,8.89405558,-1.65768293,0.1206389,-11.52388316,-63.18052887,61.95600921,14.58153322,1.02398524,2.05395856,1.86894426,2.373089,14.15005294,27.48417747,22.81202792,1.09214592,2.2831485,8.72522674,9.57229758,1.22893464,Energy Minerals
JPM,JP Morgan Chase & Co.,0.65741179,24.81836837,,,,,,29.90123269,-8.88430622,-21.34749557,12.0848,-9.128198,-22.06930961,23.79492453,-2.0788729,0.7779507,0.30495516,-0.83078499,,101.82571775,63.3627858,0.44112416,1.67179232,1.40459077,3.619368,1.32837744,16.83479548,7.83448539,,1.55757288,8.39296478,,1.82074025,Finance
JNJ,Johnson & Johnson,-16.41808573,1.34068559,-8.69515211,0.64648425,67.67036784,,-0.37965549,26.08009262,421.0708999,-13.74138682,6.7349,405.98755832,-14.06743941,18.88228174,2.9447637,,,17.86423412,,-13.02257313,18.0866179,0.84830009,1.3832089,1.31271052,2.46482,,,,,5.15784215,11.25283047,,4.05287695,Health Technology
MA,Mastercard Incorporated,9.08932916,17.67727586,9.38342621,,96.00828046,9.54944744,22.08828061,56.62661446,21.38721302,16.7806694,10.2266,20.49978823,14.30873719,44.68745781,2.80071146,0.17464557,0.3340185,0.81782866,41.49236857,24.54105192,49.76373701,1.3447049,1.79641138,1.70576492,3.210259,27.19478966,175.24625268,51.530034,1.12940694,58.49083239,36.10934103,33.12302264,15.4974644,Commercial Services
AVGO,Broadcom Inc.,1.63746708,20.95810565,0.83232183,38.31373866,62.0064452,0.90799031,30.87266553,43.02924435,-5.11273031,76.8239285,26.5319,-5.11347314,70.65023753,34.62036563,-3.0713246,-0.10046465,0.07631452,-0.73250068,4.9543379,22.45326927,49.12809084,1.07602125,2.77770369,2.44339866,10.959787,19.47509463,64.75734028,23.11890029,2.24520082,16.0687678,26.94158203,21.45889471,10.51397473,Electronic Technology
PG,Procter & Gamble Company (The),6.41268915,2.2684475,14.38631791,3.12467288,48.05258152,37.43169399,1.69401544,22.38494744,33.72135588,1.60523596,5.8992,33.59929078,-0.60371727,17.86820477,3.08937956,1.40860224,1.28726287,9.69559967,-13.63143043,1.61421095,16.81096505,0.45570299,1.45020521,1.31048799,1.703238,12.75893691,33.20329527,22.22092574,0.47965445,7.68589494,24.31149407,25.37822475,4.44534208,Consumer Non-Durables
CVX,Chevron Corporation,-3.68009154,51.23583572,-14.02270635,77.75295244,21.20464699,-14.35969455,67.24127873,17.54975293,-7.34690337,124.63627427,18.2809,-8.5792516,126.976,15.00414608,7.5872002,-1.60501161,-7.29121779,-21.51296169,-39.34081346,80.38816064,16.47600352,0.87151554,1.82351441,1.96467241,3.655839,11.83720314,19.3459643,16.98988255,1.12547325,1.87815827,9.91022428,10.41652502,1.37014924,Energy Minerals
