Ticker,Description,Revenue (Quarterly QoQ Growth),Revenue (Annual YoY Growth),Gross Profit (Quarterly QoQ Growth),Gross Profit (Annual YoY Growth),Gross Margin (FY),EBITDA (Quarterly QoQ Growth),EBITDA (Annual YoY Growth),Operating Margin (FY),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),Net Income (Quarterly QoQ Growth),Net Income (Annual YoY Growth),Net Margin (FY),Total Assets (Annual YoY Growth),Total Assets (Quarterly QoQ Growth),Total Debt (Quarterly QoQ Growth),Total Debt (Annual YoY Growth),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Volatility,Volatility Month,Volatility Week,EPS Forecast (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Quick Ratio (MRQ),Price to Book (FY),Price to Earnings Ratio (TTM),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Sector
AA,Alcoa Corporation,-4.33823529,2.61317038,-157.69230769,-26.27765065,15.14652876,-53.7414966,-23.57992074,13.29728883,-64.31064572,-130.09876434,-0.6796,-64.70588235,-128.67132867,-0.96379878,-1.79034942,-1.49348811,0.05527916,3.83351588,40.625,-35.47169811,2.67983075,2.49788136,4.52294582,3.93927146,-0.728172,-6.07596695,-17.71255061,-12.99279828,0.8288872,0.82487971,,,0.39244922,Non-Energy Minerals
AAC,Ares Acquisition Corporation,,,,,,-5.20245995,-70.14777001,,,32.41324921,0.1679,,32.3963321,,1.18887058,1.47157363,90.61488087,,20.57463491,-56.45219483,,19.59756585,0.92301365,3.45089851,,-1.34093578,-1.47059158,-1.47059158,0.00423511,1.3335766,,,,Finance
AACT,Ares Acquisition Corporation II,,,,,,,,,,50,-0.0001,,71.65719773,,22.80136458,60664.7701654,6435.32123282,28.25485678,,,,0.19398642,0.09838333,0.15597517,,,,,11.59616266,64437.5,,,,Finance
AAIC,Arlington Asset Investment Corp,-73.56973995,77.54994187,-73.56973995,21.43342391,63.84688653,131.16383456,6522.56809339,88.36766282,,,0.0904,,,32.30146446,24.816073,1.17152885,2.7333735,34.76404149,-49.79619565,-129.31144745,-8.18549827,2.96296296,2.69223424,3.91574788,0.05,1.10081615,4.82811095,2.23981174,,0.63547542,15.40170307,,2.2061817,Finance
AAL,"American Airlines Group, Inc.",-4.07684098,63.88126631,-35.20617314,33370.37037037,18.45377877,-52.60454879,,3.67564477,-144.39707998,,0.1939,-140.73243647,,0.25933716,-2.63439,-2.30300327,-3.23603316,-5.39229487,-144.04296875,-351.02739726,-1.49680423,1.74127085,3.45469871,2.87393051,0.075068,2.42666002,,5.05922379,0.58437244,-1.24093291,5.07297496,3.29295473,0.13672156,Transportation
AAME,Atlantic American Corporation,6.30875964,-5.86457801,,,,,,2.15489936,,-70.99316868,0.0552,,-64.3774819,0.81181362,-10.7400536,6.69802452,-0.50545292,3.28995697,,544.95412844,3.36809493,8.57142857,4.26136512,6.46520986,,0.18751305,0.62092226,0.45377354,,0.37962114,246.75324675,7.07812553,0.22127776,Finance
AAN,"Aarons Holdings Company, Inc.",-0.88503918,21.88724598,-3.70320048,5.7519034,51.23257673,-22.97563236,-19.26304948,6.43810843,-164.36119116,-105.24539877,-0.171,-163.48012889,-104.80288173,-0.23472571,28.9466545,-1.61041545,-0.65612551,130.99920584,-76.97204194,44.11113162,2.77634285,2.37430168,4.08118615,5.15937298,0.032857,0.50705687,1.32782872,0.66163064,,0.3223112,24.93188011,2.2062525,0.10274642,Retail Trade
AAOI,"Applied Optoelectronics, Inc.",-21.52555157,5.31893272,-14.88279522,-11.2535268,14.82241112,-21.88277891,-14.01815576,-26.47811218,-1.82527025,-18.47361622,-2.3844,-4.00196415,-22.58963849,-29.79875953,-10.16505339,-6.95448584,-15.4531547,3.75316878,,12.19363057,-7.73366604,5.23255814,9.1409455,7.24701107,-0.049467,-17.46114356,-36.10471904,-29.20231712,0.41726676,1.08880461,,,0.97292502,Electronic Technology
AAON,"AAON, Inc.",6.76961719,66.27871518,21.85642003,70.1347605,25.82415604,20.60166927,62.75188664,14.26088111,23.18253432,69.66122617,1.237,24.08866192,70.82950407,11.29358182,26.62148761,7.15934989,0.76870161,64.02075605,,25.30493042,0.82066815,3.90994163,2.92799582,2.70168613,0.545833,17.44436691,25.87602999,21.98965563,1.35874877,7.87065092,30.52322359,131.28090519,4.38985058,Producer Manufacturing
AAP,Advance Auto Parts Inc.,-21.40476604,1.42510599,-21.93527681,0.68306643,44.26165887,12.18002443,-10.77128803,6.75772108,99.94415748,-13.45346414,8.2658,100.14067665,-18.5415544,4.49918877,-1.44106928,1.00259082,-0.95465669,5.96941642,,-63.75484274,2.67295769,2.13666599,3.69140127,3.61709406,1.443394,2.82863273,12.52962126,5.30338699,0.25047957,1.11567481,8.72937551,,0.26787608,Retail Trade
AAPB,GraniteShares 1.75x Long AAPL Daily ETF,,,,,,,,,,,,,,,,,,,,,,2.0242915,2.42759318,2.17908302,,,,,,,,,,Miscellaneous
AAPD,Direxion Daily AAPL Bear 1X Shares,,,,,,,,,,,,,,,,,,,,,,1.36084284,1.73685221,1.54544007,,,,,,,,,,Miscellaneous
AAPL,Apple Inc.,-13.74899827,7.7937876,-13.25281113,11.74199796,43.30963056,-16.54920554,8.57335341,30.2887444,-17.33569461,8.89205558,6.1132,-17.71109272,5.41085763,25.30964071,0.49942735,0.8664499,-0.30561511,-2.96069498,-5.29168616,19.89177326,28.26149804,1.47285215,1.82109681,1.63824271,1.39081,28.2298126,160.09325821,60.90913766,0.92273713,53.19925493,28.41441896,26.41172181,6.94715107,Electronic Technology
AAPU,Direxion Daily AAPL Bull 1.5X Shares,,,,,,,,,,,,,,,,,,,,,,1.84116623,2.56340325,2.28532838,,,,,,,,,,Miscellaneous
AAT,"American Assets Trust, Inc.",1.34614158,12.45782645,-0.20448368,13.20174492,34.75161364,-0.50232406,10.1292934,27.14646704,-22.54016064,53.17124736,0.7245,-3.24488622,52.57083621,10.44699135,-0.99558405,-0.0577933,-2.42077172,-2.36248781,,2.43171585,15.44807973,2.89937464,2.95007177,2.92351305,0.16,1.66428101,4.10623802,1.7204482,,0.88497731,23.79361048,,3.12582903,Finance
AAXJ,iShares MSCI All Country Asia ex Japan ETF,,,,,,,,,,,,,,,,,,,,,,0.97421203,0.95841814,0.93506993,,,,,,,,,,Miscellaneous
AB,AllianceBernstein Holding L.P.,,,,,,,,,-10.15322445,-30.48840269,2.6942,-10.2006317,-28.94389687,,27.76647345,-0.42786771,,,-4.68802093,2.11343559,,2.2786123,2.43004169,2.81527293,0.618869,14.15054306,14.16584634,14.16584634,,1.34077934,12.29403752,10.69540539,,Finance
ABAT,American Battery Technology Company,,,-331.10819242,-153.97865208,,-25.93599594,36.13216964,,-1698.8372093,-809.8880597,-0.4877,-26.5823006,36.37975201,,41.23314959,30.15873027,,,53.4053303,-22.34594267,,28.5026178,10.86412336,16.59510445,,-33.46627939,-38.49975186,-38.48090031,0.34566341,3.63848305,,,,Non-Energy Minerals
ABCB,Ameris Bancorp,8.7282504,25.39325716,,,,,,30.62694038,4.09591556,-7.60702586,4.9919,3.66428891,-8.05835829,31.26626854,4.88756877,-1.10304264,-34.14185026,120.8561441,-39.57086557,89.91920357,42.47959356,2.64797508,3.05873143,3.3694891,1.125714,1.20365127,9.36872346,8.04708743,,0.7816873,8.38140877,4.78617303,1.9109106,Finance
ABG,Asbury Automotive Group Inc,-2.03612655,56.90354453,-5.70238437,63.05972155,19.65184605,-9.2431562,64.85837734,8.28792993,-12.42889526,68.08733143,44.5223,-13.84928717,87.32156273,6.46099626,-1.78879706,,-7.04025838,-19.12654565,,-35.63102443,3.72059576,2.52691523,3.51977506,3.5522228,7.539586,,30.55979903,14.29059015,0.81729512,1.40436511,4.51356972,,0.26625332,Retail Trade
ABM,ABM Industries Incorporated,2.22782258,25.33474617,-2.44685118,5.5645597,12.51505137,18.97810219,-0.43821209,4.38090846,89.30728698,83.76763217,3.4133,89.01734104,82.42280285,2.95134886,8.02306285,0.75209309,-4.29156213,36.4057971,769.81132075,-110.85714286,-0.38941409,1.67682927,2.09635104,1.97531878,0.916177,4.9574006,13.41091402,7.8576748,1.46978326,1.52609498,11.22855778,15.33746179,0.33202526,Commercial Services
ABNB,"Airbnb, Inc.",36.63366337,40.17584149,56.58844765,46.88370391,69.75830456,2938.88888889,170.03185561,22.37171092,459.79381443,,2.7838,455.55555556,,22.53839743,16.99332836,5.84473973,-0.51369863,-3.20442555,-43.0740038,57.32046062,40.54054054,4.49042916,3.70876711,3.60900333,2.111978,11.43081869,44.64833888,30.88125683,1.47181445,13.01494312,33.6078305,19.5781651,8.39114873,Consumer Services
ABR,Arbor Realty Trust,2.90432486,37.78892004,2.99886715,37.79651566,99.05501322,0.60062856,56.17320451,82.44140134,-9.5854354,-26.64678537,1.6726,-8.6149523,-3.98379016,28.32725689,13.0367534,-2.59579929,-3.48267027,11.44702031,,348.2367698,97.87734475,2.23765432,3.44834566,3.30311436,0.425849,2.09093714,12.15580754,2.47390998,,1.01213165,7.60420906,6.16191711,1.87922494,Finance
ABSI,Absci Corporation,165.32702916,20.17984107,94.13870246,-289.42307692,-126.84879067,13.46932939,-38.4566515,-1857.4908648,-77.75166471,-3.6252692,-1.1548,-78.42860201,-3.90649762,-1825.36975813,-20.53731273,-14.08176926,-8.33882663,14.85183149,4.45610079,1.14653556,-1696.78092918,6.49350649,8.39428484,8.49382763,-0.23,-36.02345326,-42.0461557,-39.78837825,5.80901742,0.40074221,,,12.76279587,Commercial Services
